DATE,VALUE
2007-05-11,0.96415
2007-05-14,-0.17930
2007-05-15,-0.13039
2007-05-16,0.86265
2007-05-17,-0.09180
2007-05-18,0.66105
2007-05-21,0.15433
2007-05-22,-0.06426
2007-05-23,-0.12073
2007-05-24,-0.97026
2007-05-25,0.54527
2007-05-28,.
2007-05-29,.
2007-05-30,0.79836
2007-05-31,0.02549
2007-06-01,0.37370
2007-06-04,0.18485
2007-06-05,-0.53470
2007-06-06,-0.88638
2007-06-07,-1.75698
2007-06-08,1.13703
2007-06-11,0.09617
2007-06-12,-1.06817
2007-06-13,1.51842
2007-06-14,0.48164
2007-06-15,0.65267
2007-06-18,-0.12134
2007-06-19,0.17308
2007-06-20,-1.36011
2007-06-21,0.61804
2007-06-22,-1.28959
2007-06-25,-0.32079
2007-06-26,-0.32382
2007-06-27,0.90094
2007-06-28,-0.04182
2007-06-29,-0.15674
2007-07-02,1.06961
2007-07-03,0.35803
2007-07-04,.
2007-07-05,.
2007-07-06,0.33041
2007-07-09,0.09213
2007-07-10,-1.41855
2007-07-11,0.57214
2007-07-12,1.90550
2007-07-13,0.31014
2007-07-16,-0.19195
2007-07-17,-0.00968
2007-07-18,-0.20654
2007-07-19,0.44691
2007-07-20,-1.22209
2007-07-23,0.48693
2007-07-24,-1.98045
2007-07-25,0.46657
2007-07-26,-2.33385
2007-07-27,-1.59915
2007-07-30,1.02539
2007-07-31,-1.26466
2007-08-01,0.72426
2007-08-02,0.43594
2007-08-03,-2.65861
2007-08-06,2.41511
2007-08-07,0.61594
2007-08-08,1.40718
2007-08-09,-2.96496
2007-08-10,0.03785
2007-08-13,-0.04953
2007-08-14,-1.81565
2007-08-15,-1.39078
2007-08-16,0.32487
2007-08-17,2.45665
2007-08-20,-0.02697
2007-08-21,0.10861
2007-08-22,1.17129
2007-08-23,-0.10724
2007-08-24,1.15350
2007-08-27,-0.85036
2007-08-28,-2.34730
2007-08-29,2.19219
2007-08-30,-0.41810
2007-08-31,1.12168
2007-09-03,.
2007-09-04,.
2007-09-05,-1.15011
2007-09-06,0.42519
2007-09-07,-1.69085
2007-09-10,-0.12727
2007-09-11,1.36323
2007-09-12,0.00476
2007-09-13,0.84196
2007-09-14,0.02022
2007-09-17,-0.51204
2007-09-18,2.92080
2007-09-19,0.60864
2007-09-20,-0.67232
2007-09-21,0.46091
2007-09-24,-0.52564
2007-09-25,-0.03426
2007-09-26,0.54112
2007-09-27,0.39071
2007-09-28,-0.30234
2007-10-01,1.32897
2007-10-02,-0.02650
2007-10-03,-0.45518
2007-10-04,0.21110
2007-10-05,0.95603
2007-10-08,-0.32165
2007-10-09,0.80962
2007-10-10,-0.17123
2007-10-11,-0.51585
2007-10-12,0.47542
2007-10-15,-0.83814
2007-10-16,-0.65732
2007-10-17,0.17614
2007-10-18,-0.07526
2007-10-19,-2.56156
2007-10-22,0.37984
2007-10-23,0.88029
2007-10-24,-0.24414
2007-10-25,-0.09763
2007-10-26,1.37876
2007-10-29,0.37127
2007-10-30,-0.64634
2007-10-31,1.19920
2007-11-01,-2.64235
2007-11-02,0.08022
2007-11-05,-0.49548
2007-11-06,1.20492
2007-11-07,-2.93698
2007-11-08,-0.05760
2007-11-09,-1.42870
2007-11-12,-0.99883
2007-11-13,2.90930
2007-11-14,-0.70693
2007-11-15,-1.32125
2007-11-16,0.52303
2007-11-19,-1.74603
2007-11-20,0.44862
2007-11-21,-1.59269
2007-11-22,.
2007-11-23,.
2007-11-26,-2.32387
